Run Event PX1 PY1 PZ1 E1 PX2 PY2 PZ2 E2
166033 964863053 -19.9486 5.19039 -21.9861 30.1376 4.02273 -12.6475 -24.2698 27.6616 
166033 964473879 41.3507 -2.76771 9.44488 42.5059 -12.3461 0.880685 -2.91084 12.7152 
166033 964966201 23.2313 -24.1778 10.775 35.2188 -15.3194 4.41917 -60.7962 62.8521 
166033 964928323 -14.2242 -10.5796 -4.43934 18.2747 -12.8689 1.10514 1.49525 13.0025 
166033 964451639 -4.15953 18.5861 14.0253 23.6527 -4.96211 -13.7261 4.22023 15.1934 
166033 964982791 25.473 29.6074 26.8257 47.3824 -19.5531 -33.7737 -24.2878 45.9661 
166033 965135311 -33.6277 32.6673 -88.8502 100.461 29.0919 -16.4949 -181.783 184.833 
166033 965109928 18.3533 33.735 113.779 120.086 -4.17218 -13.0113 52.869 54.6061 
166033 964382825 -2.87367 -18.8879 26.9681 33.0498 1.91435 9.20595 18.2966 20.5713 
166033 965634060 -4.24725 15.24 -59.5266 61.5932 -2.52272 -6.39705 28.8711 29.6787 
166033 966316620 9.28756 -29.9617 59.1163 66.9231 -11.8179 22.8179 38.8652 46.5921 
166033 966568116 55.3505 3.09279 -115.391 128.017 -54.9168 -1.49743 -81.2532 98.0826 
166033 965502218 -13.3314 20.3573 16.9009 29.6275 11.0633 -10.0214 7.03663 16.5027 
166033 965558778 -2.58813 40.4236 85.8855 94.9583 13.4125 -37.6591 57.2735 69.8452 
166033 965427112 0.296608 28.2871 12.8947 31.0889 -11.5128 -6.16846 -0.999071 13.0994 
166033 965447992 -20.0474 31.7236 -46.9689 60.1196 -11.227 19.4713 -31.3423 38.5683 
166033 965915216 -5.48419 14.8488 -7.33624 17.4466 6.82288 -4.77957 3.27465 8.95094 
166033 966242912 -24.8193 6.63509 -16.473 30.5186 11.6518 3.56186 -7.14935 14.1268 
166033 966463320 34.3272 -27.2919 -17.0471 47.0511 -42.2528 10.0474 -47.744 64.5425 
166033 965731842 46.0264 -14.9158 -24.7829 54.3608 -12.3066 -5.8141 7.01744 15.3134 
166033 965567725 75.1712 28.551 222.329 236.423 -9.2853 -30.4703 90.7667 96.1938 
166033 965499861 3.01428 -10.6713 19.6737 22.5836 5.51936 -5.24174 13.5711 15.56 
166033 965806757 -39.0748 2.8763 -43.0323 58.197 29.6538 -3.17725 -143.73 146.791 
166033 966085453 3.68963 -24.0929 55.6148 60.7214 2.92982 -12.593 23.1013 26.4733 
166033 966143917 22.3544 9.38829 104.325 107.105 -13.1715 -1.81758 25.962 29.1688 
